district,target_min,target_max
2,10.0,755.5555555555555
3,10.79310344827586,998.181818181818
4,10.0,99.0
5,16.571428571428573,888.8888888888889
6,10.5,873.015873015873
7,11.058823529411764,963.6363636363636
8,10.0,780.0
9,10.27027027027027,488.75
12,13.186813186813186,900.0
17,10.0,848.4848484848485
19,11.636363636363637,957.4468085106384
21,10.0,437.5
24,10.8,708.3333333333334
25,13.5,275.0
27,12.0,958.3333333333334
29,11.607142857142858,612.5
31,10.0,453.3333333333333
37,10.0,223.05113160100584
38,22.5,996.2962962962964
0,12.0,362.6943005181347
1,14.153846153846152,475.91410330818337
10,14.140625,844.0366972477065
11,23.0,993.1506849315068
13,10.0,445.3662182361734
14,19.316239316239315,913.7931034482758
15,10.0,750.0
16,14.444444444444445,816.8316831683169
18,18.25,880.2816901408451
20,12.795857988165682,950.9803921568628
22,10.944444444444445,285.0
23,17.649017649017647,950.0
26,13.115942028985508,735.2941176470588
28,10.0,56.2043795620438
30,10.476190476190476,679.5608991113434
32,13.96551724137931,992.0634920634922
33,10.834990059642148,443.6619718309859
34,10.0,275.0
35,10.0,182.35294117647047
36,10.0,58.0
39,12.661290322580646,471.4285714285714
40,11.488372093023257,595.2380952380952
41,12.164179104477611,950.0
42,10.0,600.0
