lat,lon,university,fuel,cafe,parking,parking_entrance,fast_food,marketplace,restaurant,hospital,school,kindergarten,townhall - community_centre,police,place_of_worship,bank,atm
21.036403,105.727235,1,4,1,0,0,0,0,3,1,11,3,0,2,18,0,0
20.985272,105.843605,7,12,19,13,2,12,4,16,5,38,20,0,13,3,34,51
20.978546,105.796775,12,8,20,5,6,4,5,20,7,39,13,0,7,13,10,46
21.028933,105.855453,4,13,458,38,5,116,15,694,25,52,25,0,38,80,128,466
21.0460937,105.8002357,13,14,92,71,30,27,11,107,8,50,23,0,14,40,35,91
21.0536611,105.8122562,5,8,50,33,6,6,6,51,7,27,12,0,10,48,21,42
10.843992,106.664704,2,18,38,2,0,1,3,12,2,34,3,0,0,35,19,23
10.799708,106.69351,16,24,161,12,2,35,9,190,13,58,7,0,7,71,88,79
21.062787,105.807466,5,2,45,21,10,6,4,49,3,23,9,0,7,33,8,23
10.8061458,106.7445753,1,4,41,9,0,11,3,56,2,25,4,0,1,9,3,9
21.0623173,105.7248362,4,2,8,1,0,0,0,16,0,17,4,0,1,5,1,0
20.995976,105.848687,8,14,83,25,11,23,7,82,16,60,31,0,19,10,57,122
21.063209,105.903308,0,5,21,17,0,0,2,15,3,25,9,0,5,8,1,10
21.016988,105.849281,8,17,442,44,12,81,13,593,32,76,36,0,44,63,155,514
20.9753072,105.7621905,3,6,16,4,2,2,4,12,6,33,6,0,3,7,3,21
21.0634544,105.8330554,0,0,53,14,0,4,5,81,2,11,7,0,2,23,6,21
20.998322,105.867558,7,13,19,3,3,4,5,11,6,46,24,0,16,4,13,59
21.007827,105.814396,19,15,101,24,7,37,16,122,13,72,25,0,23,21,70,190
20.971822,105.783025,8,7,24,5,3,3,3,17,11,47,7,0,5,10,9,32
10.775504,106.615699,0,18,4,1,0,2,6,5,1,32,4,0,1,8,15,9
21.000238,105.802417,15,15,60,19,9,25,13,82,9,68,23,0,19,16,33,97
20.996592,105.810411,12,12,48,10,9,27,8,68,9,64,22,0,18,13,38,109
10.770856,106.682888,26,30,373,39,0,68,28,560,32,85,25,0,16,90,158,116
21.010484,105.818445,19,19,123,23,7,43,13,161,12,85,24,0,29,24,81,207
21.035696,105.762105,13,5,18,9,1,1,4,10,6,44,13,0,6,9,9,16
21.0420822,105.7750737,22,11,83,60,34,26,6,113,7,53,23,0,8,17,27,43
20.992373,105.849476,9,15,46,24,7,16,5,29,11,50,23,0,16,5,44,98
21.040807,105.76415,18,5,27,17,16,7,4,27,6,42,14,0,6,9,11,17
21.0087543,105.9681083,0,7,1,4,0,0,0,0,0,9,3,0,0,8,0,4
10.7342533,106.7084591,7,6,54,42,0,13,5,84,6,38,2,0,5,4,16,28
