lat,lon,university,fuel,cafe,parking,parking_entrance,fast_food,marketplace,restaurant,hospital,school,kindergarten,townhall - community_centre,police,place_of_worship,bank,atm
20.9841541,105.8599079,1,2,2,1,0,0,1,1,0,9,2,0,1,0,4,6
10.7911654,106.7007552,6,4,63,10,0,12,2,94,2,13,3,0,2,20,23,20
20.971641,105.790634,3,3,10,2,3,0,0,6,2,9,4,0,0,3,3,6
21.039291,105.815827,2,6,26,6,1,3,4,27,4,20,3,0,3,19,13,36
10.684358,106.644744,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0
21.0342609,105.7961123,4,1,29,13,1,7,3,24,1,14,8,0,5,13,15,34
20.9923406,105.7858851,1,2,6,4,2,0,0,2,1,11,1,0,1,3,0,0
21.1173165,105.8151231,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
21.0346956,105.7404713,1,2,0,0,0,0,0,0,1,10,2,0,1,8,0,0
21.016345,105.821532,6,3,24,4,0,5,3,29,5,16,5,0,7,7,23,77
21.037087,105.77601,13,2,30,19,20,8,3,22,3,22,5,0,3,8,11,14
20.998599,105.805909,5,5,12,2,2,2,2,8,2,19,6,0,4,2,20,35
10.9536481,106.5255809,0,6,0,0,0,0,0,1,0,1,0,0,0,0,0,0
21.014682,105.823952,6,3,33,10,3,7,3,45,6,20,5,0,8,8,25,72
10.838615,106.673122,2,6,14,2,0,0,1,4,0,5,1,0,0,5,8,7
10.804959,106.715928,5,4,14,2,0,4,1,13,0,9,0,0,3,6,11,10
10.771829,106.609271,0,4,1,0,0,0,1,1,1,6,2,0,0,0,2,1
20.988609,105.855455,1,2,1,0,0,1,1,2,0,14,5,0,3,1,6,7
20.9667523,105.8700343,0,3,0,1,0,0,1,0,0,8,3,0,1,1,0,0
21.046754,105.877915,0,3,16,3,0,4,2,11,2,14,2,0,1,4,12,26
10.790439,106.555295,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21.02477,105.907459,0,0,4,5,0,7,0,36,0,5,1,0,1,3,2,5
10.7840511,106.6576389,1,7,22,2,0,12,5,25,3,25,1,0,0,25,7,8
20.9639246,105.7892446,1,2,5,2,3,2,0,3,4,11,3,0,0,2,2,2
21.0497485,105.8838407,0,3,6,2,0,4,3,3,0,8,4,0,0,2,9,16
21.029744,105.810345,8,6,35,6,0,6,5,57,3,22,5,0,4,9,13,58
21.018334,105.7987789,7,3,30,9,0,3,9,40,2,14,8,0,4,5,7,25
21.012664,105.746597,1,0,0,9,2,1,1,0,0,2,1,0,1,0,0,0
21.0750865,105.9301406,0,0,0,0,0,0,0,0,0,4,4,0,0,11,0,0
10.766676,106.671784,6,7,60,3,0,19,15,70,8,33,3,0,1,14,33,8
21.016197,105.808227,8,5,39,8,0,8,4,45,3,21,9,0,6,7,19,62
20.9774408,105.7758669,1,2,2,1,0,1,1,7,3,11,2,0,0,5,2,16
10.790682,106.69087,4,5,83,3,0,19,3,111,5,22,3,0,0,23,39,26
10.643628,106.787719,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
10.753618,106.592556,0,7,2,0,0,0,1,0,0,9,2,0,0,1,2,1
21.0090413,105.7203464,0,0,0,0,0,0,2,1,0,3,4,0,1,1,1,0
21.0385586,105.8761784,0,2,9,3,0,1,2,5,2,11,3,0,1,10,4,18
20.973544,105.825411,1,2,1,3,0,2,3,1,4,7,5,0,1,3,2,3
20.9682404,105.7542001,1,1,2,1,1,0,0,5,0,5,0,0,0,1,0,0
10.8132384,106.6017345,0,3,1,1,0,0,0,2,0,9,1,0,0,1,2,4
21.041282,105.751494,0,1,0,1,0,0,1,0,1,6,2,0,1,2,0,1
20.9683342,105.7869592,1,1,8,2,3,2,2,7,5,14,3,0,1,4,3,10
20.997193,105.818177,2,1,8,0,4,18,4,34,4,22,5,0,9,4,2,18
10.807324,106.683891,1,5,14,0,0,1,3,16,3,17,2,0,1,18,15,20
20.9860864,105.9294967,0,0,0,0,0,0,1,0,2,3,1,0,0,6,0,1
10.7621006,106.6937563,4,2,124,12,0,26,7,214,3,23,9,0,13,43,36,35
10.871755,106.667527,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7862925,106.7678012,0,2,1,0,0,0,1,3,3,7,2,0,1,5,0,4
21.02815,105.768272,3,2,6,3,0,0,0,3,2,17,4,0,2,4,2,3
21.017355,105.775199,0,1,9,5,4,1,2,5,1,12,1,0,2,1,2,7
21.0188645695107,105.84079962167,1,3,46,4,3,9,2,101,9,13,5,0,16,23,36,90
21.0480535,105.8096705,3,3,7,13,2,1,2,13,5,8,5,0,4,21,6,12
10.785508,106.67842,4,5,55,1,0,6,3,55,7,14,3,0,3,34,35,15
20.995614,105.830456,2,0,9,2,0,0,0,5,4,8,1,0,3,0,16,18
21.0339072,105.852375,0,0,286,12,0,77,9,414,8,23,5,0,15,42,55,254
10.811545,106.6988978,2,9,9,0,0,2,1,12,3,6,1,0,2,4,6,8
21.0873959,105.7555013,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
21.049911,105.763549,2,0,0,1,0,0,1,0,0,7,4,0,0,1,0,2
21.057374,105.887126,0,2,3,4,0,0,3,1,0,9,3,0,0,4,3,9
20.9646433,105.7830713,1,1,4,1,3,1,2,7,5,16,2,0,2,2,1,6
21.0108436,105.7951254,2,2,31,15,4,3,6,28,0,18,10,0,4,2,3,21
10.798835,106.662162,4,5,38,9,0,7,1,38,5,26,3,0,2,14,28,10
10.773814,106.682932,8,7,72,4,0,13,6,109,8,18,8,0,1,19,34,25
20.969753,105.774231,1,1,7,1,0,1,2,7,6,18,0,0,3,3,4,17
21.0416759,105.7764848,14,2,39,26,24,14,1,45,2,17,10,0,5,4,7,13
10.80696,106.719017,5,3,11,1,0,1,1,10,0,6,0,0,1,3,9,10
20.987248,105.769703,1,2,0,0,0,1,1,1,0,5,3,0,0,1,0,0
21.0314511,105.8269747,3,1,45,8,1,6,3,57,2,17,4,0,8,25,12,83
20.9631552,105.8172983,0,0,4,3,0,4,3,6,0,4,4,0,1,6,0,3
21.0780093,105.8124999,0,2,16,2,8,2,1,6,1,7,0,0,2,1,5,7
20.9605738,105.7711673,0,3,6,0,0,1,0,3,1,11,0,0,2,0,2,6
10.797893,106.6376362,1,6,10,4,0,2,4,8,1,16,5,0,1,6,11,7
21.0384519,105.429277,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
20.995763,105.745107,0,3,1,10,3,0,0,0,1,3,2,0,0,2,1,1
10.725412,106.594276,0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0
20.978264,105.835951,0,5,3,3,0,1,3,2,0,5,2,0,1,0,5,6
20.995883,105.874019,2,1,5,0,3,2,2,6,1,6,4,0,2,1,3,6
10.810419,106.612655,0,3,2,3,0,0,0,2,0,8,1,0,0,0,1,2
21.0161086,105.8146779,5,8,21,7,0,5,2,23,5,15,6,0,6,8,24,79
10.789951,106.696146,6,4,87,17,0,20,2,117,4,25,3,0,1,16,35,30
10.784296,106.629396,0,12,3,2,0,2,2,3,0,10,4,0,0,8,7,2
10.8751624,106.6292251,0,3,1,0,0,0,0,0,0,5,1,0,0,1,0,0
21.0109667,105.8221301,3,4,24,10,0,4,5,20,5,16,3,0,8,8,14,65
10.813851,106.709028,4,7,10,0,0,1,1,3,0,9,1,0,1,2,6,5
20.9732844,105.8179377,1,3,2,3,2,0,2,2,3,6,4,0,1,4,0,0
10.688548,106.585091,0,1,0,0,0,0,1,0,1,5,0,0,1,3,0,1
21.014209,105.806528,7,6,40,8,0,5,5,48,2,15,11,0,5,6,25,61
10.7383577,106.6586829,0,9,2,0,0,5,4,1,1,14,2,0,1,7,1,1
21.0072984,105.9494052,0,2,0,1,4,0,0,0,1,1,1,0,0,0,0,0
10.801725,106.648716,1,6,9,9,0,1,1,7,1,23,3,0,1,11,10,9
21.020876,105.855877,3,8,105,16,1,19,2,174,10,16,10,0,13,9,44,176
20.995935,105.8219564,0,0,8,0,0,7,1,25,3,19,3,0,5,3,10,26
10.646513,106.631123,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
21.053065,105.837073,0,0,18,11,0,2,0,31,1,6,2,0,0,11,6,9
10.840216,106.678869,2,5,1,1,0,0,1,4,1,3,2,0,0,3,6,7
10.8579106,106.7491996,3,3,2,0,0,2,2,2,3,10,2,0,0,5,2,1
21.0106575,105.8599784,1,8,17,8,1,4,1,29,7,21,12,0,5,2,13,57
21.017058,105.74067,1,0,0,5,2,0,1,0,0,3,1,0,0,1,0,0
20.990461655547,105.804231505465,7,3,5,0,1,2,1,8,3,16,6,0,6,0,6,42
21.0037916,105.8374303,5,1,40,21,5,13,4,22,10,17,8,0,6,3,26,48
10.795715,106.707246,7,6,25,6,0,6,1,44,0,11,0,0,3,9,8,11
20.974712,105.777594,1,2,3,1,0,2,2,10,5,18,4,0,2,5,2,21
20.9817024,105.7423936,0,0,1,0,0,0,0,0,0,7,4,0,0,0,0,0
20.97122,105.834012,0,2,2,2,0,1,2,3,2,6,2,0,0,2,5,7
10.774711,106.676113,4,7,51,2,0,15,7,74,10,17,7,0,3,19,19,11
10.767687,106.673347,8,4,59,3,0,17,13,80,8,30,4,0,1,15,30,8
20.99484,105.842597,5,3,7,4,3,10,1,8,6,14,8,0,4,2,16,36
10.768798,106.699258,4,4,213,25,0,27,8,329,7,19,5,0,11,38,90,59
10.787279,106.672045,2,3,52,3,2,9,4,41,4,20,1,0,2,30,27,11
21.0099878,105.8046614,3,5,35,11,2,4,7,35,1,22,9,0,5,7,23,35
10.850013,106.652112,0,4,13,0,0,0,0,5,0,9,1,0,0,7,2,3
20.978724,105.796025,7,1,9,0,0,1,1,3,1,11,3,0,3,4,2,15
20.998952,105.869286,2,4,6,1,3,2,3,6,1,9,7,0,3,1,3,17
10.708247,106.709526,0,0,3,0,0,0,0,1,1,2,0,0,0,0,0,1
21.033871,105.84898,0,1,307,16,1,82,10,443,9,24,7,0,14,50,71,277
10.813342,106.667146,0,4,24,16,3,7,0,15,0,7,1,0,1,2,2,16
